3.981	1.90455	1.80145
4.365	0.36542	0.34198
4.786	0.0906245	0.0838755
5.248	0.0299845	0.0273955
5.754	0.011492	0.010338
6.31	0.0049479	0.0043701
6.918	0.0024303	0.0021087
7.586	0.00128615	0.00109585
8.318	0.0007126	0.0005934
9.12	0.000378875	0.000301125
10	0.000162805	0.000111695
10.965	0.000062555	0.000031365
12.023	0.000025485	0.000008065
13.183	0.000011793	0.000002297
14.454	0.000005993	0.000000733
15.849	3.2665E-06	2.575E-07
17.378	1.9105E-06	1.005E-07
19.055	0.000001184	4.3E-08
20.893	7.847E-07	2.08E-08
22.909	5.5205E-07	1.105E-08
25.119	4.097E-07	6.4E-09
31.623	2.372E-07	2.3E-09
39.811	1.719E-07	1.2E-09
50.119	1.466E-07	8E-10
63.096	1.407E-07	7E-10
79.433	1.466E-07	6E-10
100	1.6175E-07	6.5E-10
125.893	1.857E-07	7E-10
158.489	2.1905E-07	8.5E-10
199.526	2.632E-07	1E-09
251.189	3.2035E-07	1.15E-09
316.228	3.9345E-07	1.45E-09
1000	0.000001176	4E-09
3162.278	3.6625E-06	1.35E-08
10000	0.00001153	4E-08

