3.981	3.706
4.365	0.7074
4.786	0.1745
5.248	0.05738
5.754	0.02183
6.31	0.009318
6.918	0.004539
7.586	0.002382
8.318	0.001306
9.12	0.00068
10	0.0002745
10.965	0.00009392
12.023	0.00003355
13.183	0.00001409
14.454	0.000006726
15.849	0.000003524
17.378	0.000002011
19.055	0.000001227
20.893	8.055E-07
22.909	5.631E-07
25.119	4.161E-07
31.623	2.395E-07
39.811	1.731E-07
50.119	1.474E-07
63.096	1.414E-07
79.433	1.472E-07
100	1.624E-07
125.893	1.864E-07
158.489	2.199E-07
199.526	2.642E-07
251.189	3.215E-07
316.228	3.949E-07
1000	0.00000118
3162.278	0.000003676
10000	0.00001157
