3.981	1.03E-01
4.365	2.34E-02
4.786	6.75E-03
5.248	2.59E-03
5.754	1.15E-03
6.31	5.78E-04
6.918	3.22E-04
7.586	1.90E-04
8.318	1.19E-04
9.12	7.78E-05
10	5.11E-05
10.965	3.12E-05
12.023	1.74E-05
13.183	9.50E-06
14.454	5.26E-06
15.849	3.01E-06
17.378	1.81E-06
19.055	1.14E-06
20.893	7.64E-07
22.909	5.41E-07
25.119	4.03E-07
31.623	2.35E-07
39.811	1.71E-07
50.119	1.46E-07
63.096	1.40E-07
79.433	1.46E-07
100	1.61E-07
125.893	1.85E-07
158.489	2.18E-07
199.526	2.62E-07
251.189	3.19E-07
316.228	3.92E-07
1000	1.17E-06
3162.278	3.65E-06
10000	1.15E-05

