29.21	7.44E-06
29.58	6.64E-06
30.27	5.94E-06
30.98	5.41E-06
31.7	5.02E-06
32.44	4.70E-06
33.19	4.43E-06
33.96	4.22E-06
34.76	4.03E-06
35.57	3.86E-06
36.39	3.71E-06
37.24	3.61E-06
38.11	3.51E-06
39	3.42E-06
39.91	3.34E-06
40.83	3.30E-06
41.79	3.26E-06
42.76	3.22E-06
43.76	3.18E-06
44.77	3.18E-06
45.82	3.18E-06
46.88	3.18E-06
47.98	3.19E-06
49.09	3.22E-06
50.24	3.25E-06
51.41	3.29E-06
52.61	3.33E-06
53.83	3.39E-06
55.08	3.46E-06
56.37	3.53E-06
57.68	3.61E-06
59.02	3.71E-06
60.4	3.82E-06
61.81	3.93E-06
63.25	4.06E-06
64.72	4.20E-06
66.23	4.36E-06
67.77	4.53E-06
69.35	4.72E-06
70.96	4.93E-06
72.62	5.16E-06
74.31	5.41E-06
76.04	5.69E-06
77.81	5.99E-06
79.62	6.33E-06
81.48	6.70E-06
83.37	7.13E-06
85.32	7.58E-06
87.3	8.10E-06
89.34	8.69E-06
91.42	9.38E-06
93.55	1.01E-05
95.73	1.10E-05
97.96	1.20E-05
100.2	1.32E-05
102.6	1.46E-05
105	1.63E-05
107.4	1.86E-05
109.9	2.18E-05
112.5	2.60E-05
115.1	3.50E-05
115.5	4.10E-05
115.5	4.10E-05
115.1	4.71E-05
112.5	5.64E-05
109.9	5.94E-05
107.4	6.06E-05
105	6.01E-05
102.6	5.86E-05
100.2	5.65E-05
97.96	5.41E-05
95.73	5.14E-05
93.55	4.88E-05
91.42	4.62E-05
89.34	4.36E-05
87.3	4.11E-05
85.32	3.87E-05
83.37	3.66E-05
81.48	3.45E-05
79.62	3.25E-05
77.81	3.07E-05
76.04	2.91E-05
74.31	2.75E-05
72.62	2.60E-05
70.96	2.47E-05
69.35	2.34E-05
67.77	2.23E-05
66.23	2.12E-05
64.72	2.02E-05
63.25	1.93E-05
61.81	1.84E-05
60.4	1.76E-05
59.02	1.69E-05
57.68	1.62E-05
56.37	1.55E-05
55.08	1.50E-05
53.83	1.44E-05
52.61	1.39E-05
51.41	1.34E-05
50.24	1.30E-05
49.09	1.26E-05
47.98	1.22E-05
46.88	1.18E-05
45.82	1.15E-05
44.77	1.12E-05
43.76	1.09E-05
42.76	1.07E-05
41.79	1.05E-05
40.83	1.03E-05
39.91	1.00E-05
39	9.90E-06
38.11	9.76E-06
37.24	9.60E-06
36.39	9.43E-06
35.57	9.36E-06
34.76	9.28E-06
33.96	9.17E-06
33.19	9.03E-06
32.44	8.99E-06
31.7	8.92E-06
30.98	8.78E-06
30.27	8.50E-06
29.58	8.24E-06
29.21	7.44E-06

